Date,Open,High,Low,Close,Adj Close,Volume
5/5/14,798,808.25,793.638,794.224976,664.408447,2098344
6/5/14,794.224976,796.125,788.75,791.286987,661.950623,2283012
7/5/14,787.75,792.5,762.5,766.838013,641.497742,7798036
8/5/14,767.5,772.099976,761.612,766.325012,641.068665,4580996
9/5/14,766.25,781.25,763.213013,777.862,650.71991,3089700
12/5/14,779.549988,796.625,776.263,793.775024,664.03186,3522100
13/5/14,795.75,818.75,795.75,816.312012,682.885254,3649984
14/5/14,812.562012,816.25,804.286987,813.525024,680.553772,2592344
15/5/14,813.525024,823.713013,801.312012,818.112,684.390991,4204596
16/5/14,824.75,835,764.763,794.388,664.544739,7094396
19/5/14,799.5,799.5,750.025024,753.763,630.559937,8623256
20/5/14,762.25,784.713013,760.549988,780.549988,652.968628,4393672
21/5/14,779.5,791.075012,774.763,789.275024,660.267456,3394152
22/5/14,790,795,770.286987,778.474976,651.232727,4916372
23/5/14,781.25,792.75,753.036987,767.388,641.957886,4540888
26/5/14,767.75,777.737,762.536987,773.713013,647.249146,2875272
27/5/14,775,788.75,774.875,783.513,655.447205,2492064
28/5/14,780.875,797,779.5,793.325012,663.655518,2694660
29/5/14,756.25,756.25,728.75,731.125,646.673279,20670664
30/5/14,735,739.862,720,734.849976,649.967957,14017808
2/6/14,740.125,749.424988,740.125,748.286987,661.852905,3114928
3/6/14,752,759.237,743.687988,754.299988,667.171326,3412468
4/6/14,753.75,756.838013,738.375,746.125,659.940613,2754004
5/6/14,750,767.099976,740.5,760.286987,672.466797,6076860
6/6/14,750.036987,752.5,737.5,750.763,664.042908,8441212
9/6/14,751.5,753.75,744.025024,746.612,660.37146,5429172
10/6/14,750,772.299988,749.088013,768.786987,679.984985,5239588
11/6/14,776.25,814.312012,772.588013,798.338013,706.122498,10187852
12/6/14,820,824.263,780.174988,793.763,702.075928,10564428
13/6/14,797.125,801.75,782.763,796.75,704.717957,5075872
16/6/14,796.5,814.924988,795,811.036987,717.354553,4687664
17/6/14,812.25,816.75,804.638,811.713013,717.952637,5039696
18/6/14,811.25,818.75,803.187988,810.125,716.547974,4895640
19/6/14,811.463013,830.75,811.275024,827.974976,732.336182,5656852
20/6/14,830,834.849976,823.213013,829.150024,733.375488,4426500
23/6/14,825,827.237,805.362,808.138,714.790527,3164056
24/6/14,807.5,808.724976,798.036987,800.950012,708.432861,5319012
25/6/14,811.25,811.25,801.5,802.812012,710.079651,3216760
26/6/14,805,808.75,792.187988,795.625,703.7229,3688276
27/6/14,800,808.900024,793,805.849976,712.766785,3445372
30/6/14,805,815.75,802.849976,813.888,719.876465,3645288
1/7/14,811.25,813.700012,801.5,805.263,712.247681,2331256
2/7/14,803,810.900024,799.549988,803.825012,710.975708,3059816
3/7/14,802.549988,807.099976,797.625,802.674988,709.958557,3752456
4/7/14,800.013,814.599976,800.013,811.487,717.752625,2876484
7/7/14,816.25,842,815,836.362,739.754395,5819156
8/7/14,837.25,851.588013,825.763,835.536987,739.024658,5730240
9/7/14,832.5,846,822.5,827.588013,731.993896,4135376
10/7/14,828.75,845.424988,812.650024,823.174988,728.090637,5672808
11/7/14,850.349976,858,825.088013,831.661987,735.597351,7913180
14/7/14,828.75,828.75,796.450012,806.312012,713.175476,4115800
