Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Adj Close
2009-09-14,RELIANCE,EQ,2140.85,2135.0,2159.1,2111.5,2145.0,2139.5,2137.22,2176986,4.65269418735e+14,,715813.0,0.3288,447.481293
2009-09-15,RELIANCE,EQ,2139.5,2142.0,2184.0,2142.0,2179.4,2180.9,2172.39,2157020,4.68589513825e+14,,950932.0,0.4409,456.140167
2009-09-16,RELIANCE,EQ,2180.9,2196.0,2218.7,2163.6,2183.0,2184.0,2180.27,2215286,4.82991053535e+14,,896563.0,0.4047,456.788574
2009-09-17,RELIANCE,EQ,2184.0,2185.0,2200.0,2071.0,2074.7,2086.15,2116.23,16579451,3.50860113859e+15,,9699857.0,0.5851,436.322571
2009-09-18,RELIANCE,EQ,2086.15,2080.0,2113.0,2075.1,2099.7,2102.55,2099.16,2938873,6.1691500464e+14,,1065588.0,0.3626,439.75351
2009-09-22,RELIANCE,EQ,2102.55,2128.7,2139.7,2088.1,2092.5,2097.95,2112.62,2629983,5.5561658291e+14,,1045639.0,0.3976,438.790558
2009-09-23,RELIANCE,EQ,2097.95,2097.0,2125.0,2090.0,2100.0,2101.7,2106.37,2784741,5.8656824448e+14,,1187165.0,0.4263,439.575317
2009-09-24,RELIANCE,EQ,2101.7,2090.0,2130.0,2058.0,2097.25,2100.95,2088.54,4761898,9.9454242826e+14,,2634127.0,0.5532,439.41803
2009-09-25,RELIANCE,EQ,2100.95,2084.4,2147.9,2075.1,2128.0,2135.0,2123.97,3566397,7.57490831445e+14,,1109528.0,0.3111,446.54007
2009-09-29,RELIANCE,EQ,2135.0,2145.5,2181.6,2140.0,2167.5,2171.05,2165.84,4600745,9.9644588153e+14,,2774200.0,0.603,454.080414
2009-09-30,RELIANCE,EQ,2171.05,2184.0,2212.9,2165.0,2199.0,2201.65,2199.68,4222636,9.28843831645e+14,,2313646.0,0.5479,460.479645
2009-10-01,RELIANCE,EQ,2201.65,2199.9,2199.9,2154.0,2178.0,2174.35,2173.0,3010715,6.54227159185e+14,,1492914.0,0.4959,454.770691
2009-10-05,RELIANCE,EQ,2174.35,2159.9,2172.0,2121.3,2135.0,2139.1,2138.9,2961545,6.3344512339e+14,,1513443.0,0.511,447.397644
2009-10-06,RELIANCE,EQ,2139.1,2159.95,2159.95,2102.0,2128.5,2134.1,2129.41,3669459,7.81379031155e+14,,1928033.0,0.5254,446.351868
2009-10-07,RELIANCE,EQ,2134.1,2149.5,2158.0,2084.1,2097.0,2101.3,2129.52,3100036,6.60157623055e+14,,1621688.0,0.5231,439.491699
2009-10-08,RELIANCE,EQ,2101.3,2200.0,2235.5,2100.0,2102.5,2119.65,2147.5,7026835,1.50901070412e+15,,3488892.0,0.4965,443.329163
2009-10-09,RELIANCE,EQ,2119.65,2128.65,2131.6,2090.0,2097.0,2099.75,2107.91,3162237,6.66570963325e+14,,1492395.0,0.4719,439.167847
